V_app,L,k_fac,dT_max,Pin
0.028275862,0.00937931,1,49.97705432,8.631452438
0.031034483,0.00937931,1,49.98114334,10.42435782
0.033793103,0.00937931,1,49.98553499,12.39444238
0.036551724,0.00937931,1,49.99021805,14.54451979
0.039310345,0.00937931,1,49.99518171,16.87766076
0.042068966,0.00937931,1,50.00158098,19.39719757
0.044827586,0.00937931,1,50.28068039,22.10672857
0.047586207,0.00937931,1,50.97970896,25.01012355
0.050344828,0.00937931,1,52.03043548,28.11152912
0.053103448,0.00937931,1,53.38308874,31.41537465
0.055862069,0.00937931,1,55.0007152,34.92637884
0.05862069,0.00937931,1,56.85525176,38.64955605
0.06137931,0.00937931,1,58.92505778,42.59022363
0.064137931,0.00937931,1,61.19325871,46.7540098
0.066896552,0.00937931,1,63.64634841,51.14686126
0.069655172,0.00937931,1,66.27357589,55.77505205
0.072413793,0.00937931,1,69.06596076,60.64519224
0.075172414,0.00937931,1,72.01613642,65.76423768
0.077931034,0.00937931,1,75.11806745,71.13949895
0.080689655,0.00937931,1,78.36663017,76.77865326
0.083448276,0.00937931,1,81.75705696,82.6897545
0.086206897,0.00937931,1,85.28574253,88.88124497
0.088965517,0.00937931,1,88.9491968,95.36196706
0.091724138,0.00937931,1,92.74429941,102.1411772
0.094482759,0.00937931,1,96.66841974,109.2285577
0.02,0.009689655,1,49.96775285,4.154000245
0.097241379,0.00937931,1,100.7191597,116.634231
0.022758621,0.009689655,1,49.9707659,5.388877686
0.025517241,0.009689655,1,49.97410741,6.7885447
0.1,0.00937931,1,104.894107,124.3687744
0.028275862,0.009689655,1,49.9777652,8.355000245
0.031034483,0.009689655,1,49.98172754,10.09048162
0.033793103,0.009689655,1,49.98598313,11.99746739
0.036551724,0.009689655,1,49.99052111,14.07868113
0.039310345,0.009689655,1,49.99533099,16.33709518
0.042068966,0.009689655,1,50.00157193,18.7759351
0.044827586,0.009689655,1,50.28069604,21.398684
0.047586207,0.009689655,1,50.97972656,24.2090877
0.050344828,0.009689655,1,52.03042598,27.21116003
0.053103448,0.009689655,1,53.38307326,30.40918847
0.055862069,0.009689655,1,55.00071081,33.8077406
0.05862069,0.009689655,1,56.85522084,37.41167019
0.06137931,0.009689655,1,58.92506662,41.22612425
0.064137931,0.009689655,1,61.1932821,45.25655077
0.066896552,0.009689655,1,63.64636891,49.50870596
0.069655172,0.009689655,1,66.27351158,53.98866291
0.072413793,0.009689655,1,69.06589116,58.70282
0.075172414,0.009689655,1,72.01612447,63.65791028
0.077931034,0.009689655,1,75.11809878,68.86101017
0.080689655,0.009689655,1,78.36663844,74.31955101
0.083448276,0.009689655,1,81.75715752,80.04132871
0.086206897,0.009689655,1,85.28576316,86.03451517
0.088965517,0.009689655,1,88.94921223,92.30766958
0.091724138,0.009689655,1,92.7443237,98.86975184
0.094482759,0.009689655,1,96.66850208,105.7301343
0.02,0.01,1,49.96877401,4.025083002
0.097241379,0.009689655,1,100.7191161,112.898615
0.022758621,0.01,1,49.97169165,5.221636664
0.025517241,0.01,1,49.97492735,6.577865741
0.1,0.009689655,1,104.8941332,120.3854322
0.028275862,0.01,1,49.9784693,8.095707153
0.031034483,0.01,1,49.98230617,9.777328766
0.033793103,0.01,1,49.986427,11.62513224
0.036551724,0.01,1,49.99082127,13.6417566
0.039310345,0.01,1,49.99547884,15.83008195
0.042068966,0.01,1,50.00156044,18.19323374
0.044827586,0.01,1,50.28067063,20.73458701
0.047586207,0.01,1,50.9797303,23.45777131
0.050344828,0.01,1,52.03043887,26.3666759
0.053103448,0.01,1,53.38309007,29.46545522
0.055862069,0.01,1,55.0006742,32.75853508
0.05862069,0.01,1,56.85519871,36.25061861
0.06137931,0.01,1,58.92507129,39.94669309
0.064137931,0.01,1,61.19326253,43.85203745
0.066896552,0.01,1,63.64635183,47.97222924
0.069655172,0.01,1,66.27357155,52.31315309
0.072413793,0.01,1,69.06589363,56.88100878
